date,type,teams,assets
2020-01-15,Waived,TOR,Shamorie Ponds
2020-11-18,Drafted,TOR,Malachi Flynn
2020-11-18,Drafted,TOR,Jalen Harris
2020-11-24,Signed,TOR,Aron Baynes
2020-11-24,Signed,TOR,Fred VanVleet
2020-11-25,Signed,TOR,DeAndre' Bembry
2020-11-25,Signed,TOR,Alex Len
2020-11-25,Signed,TOR,Chris Boucher
2020-11-26,Signed,TOR,Henry Ellenson
2020-11-26,Signed,TOR,Malachi Flynn
2020-11-26,Waived,TOR,Dewan Hernandez
2020-11-27,Signed,TOR,Yuta Watanabe
2020-11-28,Signed,TOR,Alize Johnson
2020-11-28,Signed,TOR,Oshae Brisset
2020-11-28,Signed,TOR,Jalen Harris
2020-12-19,Converted,TOR,Paul Watson
2020-12-19,Signed,TOR,Dewan Hernandez
2020-12-19,Signed,TOR,Tres Tinkle
2020-12-19,Signed,TOR,Breein Tyree
2020-12-19,Waived,TOR,Oshae Brisset
2020-12-19,Waived,TOR,Henry Ellenson
2020-12-19,Waived,TOR,Alize Johnson
2020-12-19,Waived,TOR,Dewan Hernandez
2020-12-19,Waived,TOR,Tres Tinkle
2020-12-19,Waived,TOR,Breein Tyree
2021-01-19,Waived,TOR,Alex Len
2021-02-26,Signed,TOR,Donta Hall
2021-03-10,Signed,TOR,Henry Ellenson
2021-03-25,Traded,TOR;POR,[Rodney Hood;Gary Trent Jr.];[Norman Powell]
2021-03-25,Traded,SAC;TOR,[];[Dalano Banton]
2021-03-25,Traded,TOR;UTA,[David Johnson];[Matt Thomas]
2021-04-08,Signed,TOR,Freddie Gillespie
2021-04-09,Waived,TOR,Patrick McCaw
2021-04-10,Signed,TOR,Khem Birch
2021-04-18,Signed,TOR,Freddie Gillespie
2021-04-18,Converted,TOR,Yuta Watanabe
2021-04-28,Signed,TOR,Freddie Gillespie
2021-07-29,Drafted,TOR,Scottie Barnes
2021-07-29,Drafted,TOR,Dalano Banton
2021-07-29,Drafted,TOR,David Johnson
2021-08-03,Waived,TOR,Paul Watson
2021-08-03,Waived,TOR,Rodney Hood
2021-08-03,Waived,TOR,DeAndre' Bembry
2021-08-04,Waived,TOR,Aron Baynes
2021-08-06,Traded,TOR;MIA,[Precious Achiuwa;Goran Dragic];[Kyle Lowry]
2021-08-06,Signed,TOR,Kyle Lowry
2021-08-06,Signed,TOR,Khem Birch
2021-08-07,Signed,TOR,Ishmail Wainright
2021-08-07,Signed,TOR,Gary Trent Jr.
2021-08-07,Signed,TOR,Justin Champagnie
2021-08-08,Signed,TOR,Scottie Barnes
2021-08-08,Signed,TOR,David Johnson
2021-08-09,Signed,TOR,Sam Dekker
2021-08-11,Signed,TOR,Isaac Bonga
2021-08-13,Signed,TOR,Dalano Banton
2021-08-31,Signed,TOR,Sviatoslav Mykhailiuk
2021-09-21,Signed,TOR,Reggie Perry
2021-10-13,Signed,TOR,Josh Hall
2021-10-13,Signed,TOR,Alex AntetoKounmpo
2021-10-13,Waived,TOR,Reggie Perry
2021-10-13,Waived,TOR,Freddie Gillespie
2021-10-15,Signed,TOR,Ashton Hagans
2021-10-15,Signed,TOR,Breein Tyree
2021-10-15,Waived,TOR,Alex AntetoKounmpo
2021-10-15,Waived,TOR,Josh Hall
2021-10-16,Waived,TOR,Ashton Hagans
2021-10-16,Waived,TOR,Breein Tyree
2021-10-16,Waived,TOR,Ishmail Wainright
2021-11-06,Waived,TOR,Sam Dekker
