TEAM,YEAR,WINS,LOSSES,OFFRTG,OFFRANK,DEFRTG,DEFRANK,NETRTG,NETRANK,PLAYOFFS,URL
CLE,2022,17,12,108.9,19/30,104.7,3/30,4.2,4/30,No Playoffs,https://www.basketball-reference.com/teams/CLE/2022.html
DAL,1985,44,38,111.5,3/23,109.3,18/23,2.2,8/23,Lost Round 1 (1-3),https://www.basketball-reference.com/teams/DAL/1985.html
DAL,1986,44,38,112.1,2/23,111.0,20/23,1.1,9/23,Lost Round 2 (2-4),https://www.basketball-reference.com/teams/DAL/1986.html
DAL,1987,55,27,114.9,2/23,108.7,14/23,6.2,4/23,Lost Round 1 (1-3),https://www.basketball-reference.com/teams/DAL/1987.html
DAL,1988,53,29,112.2,3/23,107.7,15/23,4.5,4/23,Lost Round 3 (3-4),https://www.basketball-reference.com/teams/DAL/1988.html
DAL,1989,38,44,107.4,15/25,108.6,17/25,-1.3,17/25,No Playoffs,https://www.basketball-reference.com/teams/DAL/1989.html
DAL,1990,47,35,107.2,18/27,107.2,9/27,0.1,16/27,Lost Round 1 (0-3),https://www.basketball-reference.com/teams/DAL/1990.html
DAL,1991,28,54,105.5,20/27,110.3,22/27,-4.8,22/27,No Playoffs,https://www.basketball-reference.com/teams/DAL/1991.html
DAL,1992,22,60,103.0,26/27,111.1,26/27,-8.1,27/27,No Playoffs,https://www.basketball-reference.com/teams/DAL/1992.html
DAL,1993,11,71,99.5,27/27,114.7,27/27,-15.2,27/27,No Playoffs,https://www.basketball-reference.com/teams/DAL/1993.html
DAL,1994,13,69,100.4,27/27,109.6,24/27,-9.2,27/27,No Playoffs,https://www.basketball-reference.com/teams/DAL/1994.html
DAL,1995,36,46,107.6,15/27,110.6,21/27,-3.0,19/27,No Playoffs,https://www.basketball-reference.com/teams/DAL/1995.html
DAL,1996,26,56,106.1,19/29,111.2,25/29,-5.1,24/29,No Playoffs,https://www.basketball-reference.com/teams/DAL/1996.html
DAL,1997,24,58,101.1,28/29,108.2,18/29,-7.1,26/29,No Playoffs,https://www.basketball-reference.com/teams/DAL/1997.html
DAL,1998,20,62,100.5,27/29,107.2,24/29,-6.7,24/29,No Playoffs,https://www.basketball-reference.com/teams/DAL/1998.html
DAL,1999,19,31,102.3,15/29,104.9,25/29,-2.7,23/29,No Playoffs,https://www.basketball-reference.com/teams/DAL/1999.html
DAL,2000,40,42,106.6,7/29,107.2,24/29,-0.6,18/29,No Playoffs,https://www.basketball-reference.com/teams/DAL/2000.html
DAL,2001,53,29,107.1,4/29,102.6,13/29,4.6,6/29,Lost Round 2 (1-4),https://www.basketball-reference.com/teams/DAL/2001.html
DAL,2002,57,25,112.2,1/29,107.7,25/29,4.5,4/29,Lost Round 2 (1-4),https://www.basketball-reference.com/teams/DAL/2002.html
DAL,2003,60,22,110.7,1/29,102.3,9/29,8.4,1/29,Lost Round 3 (2-4),https://www.basketball-reference.com/teams/DAL/2003.html
DAL,2004,52,30,112.1,1/29,107.4,26/29,4.7,6/29,Lost Round 1 (1-4),https://www.basketball-reference.com/teams/DAL/2004.html
DAL,2005,58,24,110.3,4/30,104.1,9/30,6.2,4/30,Lost Round 2 (2-4),https://www.basketball-reference.com/teams/DAL/2005.html
DAL,2006,60,22,111.8,1/30,105.0,11/30,6.9,3/30,Lost Finals (2-4),https://www.basketball-reference.com/teams/DAL/2006.html
DAL,2007,67,15,111.3,2/30,103.2,5/30,8.0,2/30,Lost Round 1 (2-4),https://www.basketball-reference.com/teams/DAL/2007.html
DAL,2008,51,31,111.1,8/30,106.1,9/30,5.0,10/30,Lost Round 1 (1-4),https://www.basketball-reference.com/teams/DAL/2008.html
DAL,2009,50,32,110.5,5/30,108.4,17/30,2.1,10/30,Lost Round 2 (1-4),https://www.basketball-reference.com/teams/DAL/2009.html
DAL,2010,55,27,109.2,10/30,106.3,12/30,2.9,12/30,Lost Round 1 (2-4),https://www.basketball-reference.com/teams/DAL/2010.html
DAL,2011,57,25,109.7,8/30,105.0,8/30,4.6,8/30,Won Finals (4-2),https://www.basketball-reference.com/teams/DAL/2011.html
DAL,2012,36,30,103.3,22/30,102.3,8/30,1.0,14/30,Lost Round 1 (0-4),https://www.basketball-reference.com/teams/DAL/2012.html
DAL,2013,41,41,105.9,14/30,106.5,19/30,-0.6,17/30,No Playoffs,https://www.basketball-reference.com/teams/DAL/2013.html
DAL,2014,49,33,111.2,3/30,108.7,22/30,2.5,12/30,Lost Round 1 (3-4),https://www.basketball-reference.com/teams/DAL/2014.html
DAL,2015,50,32,109.5,5/30,106.4,20/30,3.0,11/30,Lost Round 1 (1-4),https://www.basketball-reference.com/teams/DAL/2015.html
DAL,2016,42,40,106.7,11/30,107.0,17/30,-0.3,16/30,Lost Round 1 (1-4),https://www.basketball-reference.com/teams/DAL/2016.html
DAL,2017,33,49,105.6,25/30,108.8,15/30,-3.2,23/30,No Playoffs,https://www.basketball-reference.com/teams/DAL/2017.html
DAL,2018,24,58,106.3,24/30,109.5,17/30,-3.2,22/30,No Playoffs,https://www.basketball-reference.com/teams/DAL/2018.html
DAL,2019,33,49,109.4,20/30,110.7,18/30,-1.3,21/30,No Playoffs,https://www.basketball-reference.com/teams/DAL/2019.html
DAL,2020,43,32,116.7,1/30,111.7,18/30,4.9,6/30,Lost Round 1 (2-4),https://www.basketball-reference.com/teams/DAL/2020.html
DAL,2021,42,30,115.4,9/30,113.0,20/30,2.3,11/30,Lost Round 1 (3-4),https://www.basketball-reference.com/teams/DAL/2021.html
DAL,2022,14,13,108.7,20/30,108.7,14/30,-0.1,16/30,No Playoffs,https://www.basketball-reference.com/teams/DAL/2022.html
DEN,1985,52,30,110.7,5/23,108.4,15/23,2.2,7/23,Lost Round 3 (1-4),https://www.basketball-reference.com/teams/DEN/1985.html
DEN,1986,47,35,107.1,12/23,105.9,9/23,1.2,7/23,Lost Round 2 (2-4),https://www.basketball-reference.com/teams/DEN/1986.html
DEN,1987,37,45,109.3,8/23,110.2,15/23,-0.8,14/23,Lost Round 1 (0-3),https://www.basketball-reference.com/teams/DEN/1987.html
DEN,1988,54,28,110.1,8/23,106.3,6/23,3.8,6/23,Lost Round 2 (2-4),https://www.basketball-reference.com/teams/DEN/1988.html
DEN,1989,44,38,108.6,13/25,107.1,8/25,1.6,10/25,Lost Round 1 (0-3),https://www.basketball-reference.com/teams/DEN/1989.html
DEN,1990,43,39,108.0,14/27,106.7,7/27,1.3,12/27,Lost Round 1 (0-3),https://www.basketball-reference.com/teams/DEN/1990.html
DEN,1991,20,62,105.2,21/27,114.7,27/27,-9.6,27/27,No Playoffs,https://www.basketball-reference.com/teams/DEN/1991.html
DEN,1992,24,58,100.7,27/27,108.6,13/27,-7.9,26/27,No Playoffs,https://www.basketball-reference.com/teams/DEN/1992.html
DEN,1993,36,46,104.6,24/27,106.3,8/27,-1.7,21/27,No Playoffs,https://www.basketball-reference.com/teams/DEN/1993.html
DEN,1994,42,40,103.9,20/27,102.3,5/27,1.5,16/27,Lost Round 2 (3-4),https://www.basketball-reference.com/teams/DEN/1994.html
DEN,1995,41,41,109.1,12/27,108.2,14/27,0.9,13/27,Lost Round 1 (0-3),https://www.basketball-reference.com/teams/DEN/1995.html
DEN,1996,35,47,105.2,24/29,108.1,17/29,-2.9,20/29,No Playoffs,https://www.basketball-reference.com/teams/DEN/1996.html
DEN,1997,21,61,104.5,24/29,111.2,24/29,-6.7,24/29,No Playoffs,https://www.basketball-reference.com/teams/DEN/1997.html
DEN,1998,11,71,99.0,28/29,112.1,29/29,-13.1,29/29,No Playoffs,https://www.basketball-reference.com/teams/DEN/1998.html
DEN,1999,14,36,103.1,12/29,110.4,29/29,-7.3,26/29,No Playoffs,https://www.basketball-reference.com/teams/DEN/1999.html
DEN,2000,35,47,103.5,19/29,105.8,20/29,-2.2,22/29,No Playoffs,https://www.basketball-reference.com/teams/DEN/2000.html
DEN,2001,40,42,103.7,12/29,106.3,26/29,-2.6,21/29,No Playoffs,https://www.basketball-reference.com/teams/DEN/2001.html
DEN,2002,27,55,101.4,26/29,107.8,26/29,-6.4,27/29,No Playoffs,https://www.basketball-reference.com/teams/DEN/2002.html
DEN,2003,17,65,92.2,29/29,101.3,6/29,-9.1,28/29,No Playoffs,https://www.basketball-reference.com/teams/DEN/2003.html
DEN,2004,43,39,103.9,8/29,102.7,13/29,1.1,12/29,Lost Round 1 (1-4),https://www.basketball-reference.com/teams/DEN/2004.html
DEN,2005,49,33,106.0,16/30,103.9,8/30,2.2,10/30,Lost Round 1 (1-4),https://www.basketball-reference.com/teams/DEN/2005.html
DEN,2006,44,38,105.5,17/30,105.2,13/30,0.2,15/30,Lost Round 1 (1-4),https://www.basketball-reference.com/teams/DEN/2006.html
DEN,2007,45,37,107.6,8/30,105.9,11/30,1.7,9/30,Lost Round 1 (1-4),https://www.basketball-reference.com/teams/DEN/2007.html
DEN,2008,50,32,110.0,11/30,106.3,10/30,3.7,11/30,Lost Round 1 (0-4),https://www.basketball-reference.com/teams/DEN/2008.html
DEN,2009,54,28,110.4,7/30,106.8,8/30,3.6,8/30,Lost Round 3 (2-4),https://www.basketball-reference.com/teams/DEN/2009.html
DEN,2010,53,29,111.8,3/30,107.5,16/30,4.3,8/30,Lost Round 1 (2-4),https://www.basketball-reference.com/teams/DEN/2010.html
DEN,2011,50,32,112.3,1/30,107.3,16/30,5.0,7/30,Lost Round 1 (1-4),https://www.basketball-reference.com/teams/DEN/2011.html
DEN,2012,38,28,109.2,3/30,106.2,20/30,3.0,9/30,Lost Round 1 (3-4),https://www.basketball-reference.com/teams/DEN/2012.html
DEN,2013,57,25,110.4,5/30,105.1,11/30,5.3,5/30,Lost Round 1 (2-4),https://www.basketball-reference.com/teams/DEN/2013.html
DEN,2014,36,46,106.0,16/30,108.2,21/30,-2.2,20/30,No Playoffs,https://www.basketball-reference.com/teams/DEN/2014.html
DEN,2015,30,52,104.5,19/30,108.2,26/30,-3.7,24/30,No Playoffs,https://www.basketball-reference.com/teams/DEN/2015.html
DEN,2016,33,49,105.6,17/30,108.9,24/30,-3.2,23/30,No Playoffs,https://www.basketball-reference.com/teams/DEN/2016.html
DEN,2017,40,42,113.2,4/30,112.7,29/30,0.5,13/30,No Playoffs,https://www.basketball-reference.com/teams/DEN/2017.html
DEN,2018,46,36,112.5,6/30,111.0,25/30,1.5,11/30,No Playoffs,https://www.basketball-reference.com/teams/DEN/2018.html
DEN,2019,54,28,113.0,6/30,108.9,10/30,4.0,8/30,Lost Round 2 (3-4),https://www.basketball-reference.com/teams/DEN/2019.html
DEN,2020,46,27,113.1,5/30,111.0,16/30,2.1,11/30,Lost Round 3 (1-4),https://www.basketball-reference.com/teams/DEN/2020.html
DEN,2021,47,25,117.1,7/30,112.1,12/30,5.0,6/30,Lost Round 2 (0-4),https://www.basketball-reference.com/teams/DEN/2021.html
DEN,2022,14,13,109.5,15/30,109.2,16/30,0.3,15/30,No Playoffs,https://www.basketball-reference.com/teams/DEN/2022.html
DET,1985,46,36,109.6,9/23,107.2,9/23,2.4,6/23,Lost Round 2 (2-4),https://www.basketball-reference.com/teams/DET/1985.html
DET,1986,46,36,109.0,7/23,107.9,15/23,1.1,8/23,Lost Round 1 (1-3),https://www.basketball-reference.com/teams/DET/1986.html
DET,1987,52,30,109.2,9/23,105.8,5/23,3.4,6/23,Lost Round 3 (3-4),https://www.basketball-reference.com/teams/DET/1987.html
DET,1988,54,28,110.5,6/23,105.3,2/23,5.2,3/23,Lost Finals (3-4),https://www.basketball-reference.com/teams/DET/1988.html
DET,1989,63,19,110.8,7/25,104.7,3/25,6.0,4/25,Won Finals (4-0),https://www.basketball-reference.com/teams/DET/1989.html
DET,1990,59,23,109.9,11/27,103.5,2/27,6.4,3/27,Won Finals (4-1),https://www.basketball-reference.com/teams/DET/1990.html
DET,1991,50,32,108.2,12/27,104.6,4/27,3.5,7/27,Lost Round 3 (0-4),https://www.basketball-reference.com/teams/DET/1991.html
DET,1992,48,34,107.5,15/27,105.3,6/27,2.2,10/27,Lost Round 1 (2-3),https://www.basketball-reference.com/teams/DET/1992.html
DET,1993,40,42,107.4,18/27,108.9,15/27,-1.5,20/27,No Playoffs,https://www.basketball-reference.com/teams/DET/1993.html
DET,1994,20,62,102.7,23/27,110.9,26/27,-8.2,26/27,No Playoffs,https://www.basketball-reference.com/teams/DET/1994.html
DET,1995,28,54,105.1,24/27,112.9,27/27,-7.8,25/27,No Playoffs,https://www.basketball-reference.com/teams/DET/1995.html
DET,1996,46,36,107.9,15/29,105.1,7/29,2.8,9/29,Lost Round 1 (0-3),https://www.basketball-reference.com/teams/DET/1996.html
DET,1997,54,28,110.6,5/29,104.4,11/29,6.2,6/29,Lost Round 1 (2-3),https://www.basketball-reference.com/teams/DET/1997.html
DET,1998,37,45,105.3,13/29,103.5,9/29,1.8,13/29,No Playoffs,https://www.basketball-reference.com/teams/DET/1998.html
DET,1999,29,21,104.2,10/29,100.3,9/29,3.9,6/29,Lost Round 1 (2-3),https://www.basketball-reference.com/teams/DET/1999.html
DET,2000,42,40,107.3,4/29,105.8,21/29,1.5,12/29,Lost Round 1 (0-3),https://www.basketball-reference.com/teams/DET/2000.html
DET,2001,32,50,100.0,25/29,101.8,8/29,-1.8,19/29,No Playoffs,https://www.basketball-reference.com/teams/DET/2001.html
DET,2002,50,32,104.8,12/29,102.4,8/29,2.4,9/29,Lost Round 2 (1-4),https://www.basketball-reference.com/teams/DET/2002.html
DET,2003,50,32,104.1,15/29,99.9,4/29,4.2,5/29,Lost Round 3 (0-4),https://www.basketball-reference.com/teams/DET/2003.html
DET,2004,54,28,102.0,18/29,95.4,2/29,6.6,2/29,Won Finals (4-1),https://www.basketball-reference.com/teams/DET/2004.html
DET,2005,54,28,105.6,17/30,101.2,3/30,4.4,6/30,Lost Finals (3-4),https://www.basketball-reference.com/teams/DET/2005.html
DET,2006,64,18,110.8,4/30,103.1,5/30,7.6,2/30,Lost Round 3 (2-4),https://www.basketball-reference.com/teams/DET/2006.html
DET,2007,53,29,108.9,6/30,104.2,7/30,4.7,6/30,Lost Round 3 (2-4),https://www.basketball-reference.com/teams/DET/2007.html
DET,2008,59,23,111.4,6/30,102.9,4/30,8.4,2/30,Lost Round 3 (2-4),https://www.basketball-reference.com/teams/DET/2008.html
DET,2009,39,43,107.4,21/30,108.0,16/30,-0.6,17/30,Lost Round 1 (0-4),https://www.basketball-reference.com/teams/DET/2009.html
DET,2010,27,55,105.6,21/30,111.4,26/30,-5.7,27/30,No Playoffs,https://www.basketball-reference.com/teams/DET/2010.html
DET,2011,30,52,107.7,15/30,111.7,28/30,-4.0,23/30,No Playoffs,https://www.basketball-reference.com/teams/DET/2011.html
DET,2012,25,41,101.0,26/30,106.3,22/30,-5.3,26/30,No Playoffs,https://www.basketball-reference.com/teams/DET/2012.html
DET,2013,29,53,103.8,21/30,108.1,24/30,-4.4,25/30,No Playoffs,https://www.basketball-reference.com/teams/DET/2013.html
DET,2014,29,53,105.9,19/30,109.7,25/30,-3.8,24/30,No Playoffs,https://www.basketball-reference.com/teams/DET/2014.html
DET,2015,32,50,105.3,15/30,106.4,19/30,-1.1,20/30,No Playoffs,https://www.basketball-reference.com/teams/DET/2015.html
DET,2016,44,38,106.1,13/30,105.5,12/30,0.6,14/30,Lost Round 1 (0-4),https://www.basketball-reference.com/teams/DET/2016.html
DET,2017,37,45,106.0,24/30,107.1,8/30,-1.2,21/30,No Playoffs,https://www.basketball-reference.com/teams/DET/2017.html
DET,2018,39,43,107.2,19/30,107.3,10/30,-0.2,19/30,No Playoffs,https://www.basketball-reference.com/teams/DET/2018.html
DET,2019,41,41,109.0,21/30,109.2,11/30,-0.2,17/30,Lost Round 1 (0-4),https://www.basketball-reference.com/teams/DET/2019.html
DET,2020,20,46,109.0,21/30,112.7,22/30,-3.6,23/30,No Playoffs,https://www.basketball-reference.com/teams/DET/2020.html
DET,2021,20,52,108.0,26/30,112.5,16/30,-4.5,25/30,No Playoffs,https://www.basketball-reference.com/teams/DET/2021.html
DET,2022,4,22,100.8,29/30,110.7,22/30,-9.9,29/30,No Playoffs,https://www.basketball-reference.com/teams/DET/2022.html
GSW,1985,22,60,106.0,15/23,113.0,23/23,-7.0,23/23,No Playoffs,https://www.basketball-reference.com/teams/GSW/1985.html
GSW,1986,30,52,108.3,10/23,111.6,21/23,-3.3,20/23,No Playoffs,https://www.basketball-reference.com/teams/GSW/1986.html
GSW,1987,42,40,108.9,10/23,111.2,21/23,-2.3,16/23,Lost Round 2 (1-4),https://www.basketball-reference.com/teams/GSW/1987.html
GSW,1988,20,62,104.7,21/23,112.9,23/23,-8.1,21/23,No Playoffs,https://www.basketball-reference.com/teams/GSW/1988.html
GSW,1989,43,39,107.4,14/25,107.7,12/25,-0.3,16/25,Lost Round 2 (1-4),https://www.basketball-reference.com/teams/GSW/1989.html
GSW,1990,37,45,109.6,12/27,112.6,26/27,-3.0,20/27,No Playoffs,https://www.basketball-reference.com/teams/GSW/1990.html
GSW,1991,44,38,111.9,6/27,110.3,23/27,1.6,11/27,Lost Round 2 (1-4),https://www.basketball-reference.com/teams/GSW/1991.html
GSW,1992,55,27,113.6,3/27,109.9,20/27,3.7,8/27,Lost Round 1 (1-3),https://www.basketball-reference.com/teams/GSW/1992.html
GSW,1993,34,48,109.2,11/27,110.2,22/27,-1.0,17/27,No Playoffs,https://www.basketball-reference.com/teams/GSW/1993.html
GSW,1994,50,32,108.3,9/27,106.5,13/27,1.8,15/27,Lost Round 1 (0-3),https://www.basketball-reference.com/teams/GSW/1994.html
GSW,1995,26,56,106.7,17/27,112.2,25/27,-5.5,22/27,No Playoffs,https://www.basketball-reference.com/teams/GSW/1995.html
GSW,1996,36,46,108.4,14/29,109.9,21/29,-1.5,18/29,No Playoffs,https://www.basketball-reference.com/teams/GSW/1996.html
GSW,1997,30,52,107.2,11/29,112.2,28/29,-5.1,23/29,No Playoffs,https://www.basketball-reference.com/teams/GSW/1997.html
GSW,1998,19,63,95.8,29/29,105.7,20/29,-9.9,28/29,No Playoffs,https://www.basketball-reference.com/teams/GSW/1998.html
GSW,1999,21,29,98.4,27/29,101.1,10/29,-2.8,24/29,No Playoffs,https://www.basketball-reference.com/teams/GSW/1999.html
GSW,2000,19,63,99.8,27/29,108.4,27/29,-8.6,27/29,No Playoffs,https://www.basketball-reference.com/teams/GSW/2000.html
GSW,2001,17,65,97.8,28/29,107.4,28/29,-9.6,28/29,No Playoffs,https://www.basketball-reference.com/teams/GSW/2001.html
GSW,2002,21,61,102.8,21/29,108.5,28/29,-5.7,26/29,No Playoffs,https://www.basketball-reference.com/teams/GSW/2002.html
GSW,2003,38,44,108.3,3/29,109.5,29/29,-1.2,20/29,No Playoffs,https://www.basketball-reference.com/teams/GSW/2003.html
GSW,2004,37,45,103.0,12/29,103.8,18/29,-0.8,16/29,No Playoffs,https://www.basketball-reference.com/teams/GSW/2004.html
GSW,2005,34,48,104.7,23/30,106.9,16/30,-2.3,21/30,No Playoffs,https://www.basketball-reference.com/teams/GSW/2005.html
GSW,2006,34,48,104.8,20/30,106.2,17/30,-1.4,18/30,No Playoffs,https://www.basketball-reference.com/teams/GSW/2006.html
GSW,2007,42,40,107.0,11/30,107.4,19/30,-0.3,13/30,Lost Round 2 (1-4),https://www.basketball-reference.com/teams/GSW/2007.html
GSW,2008,48,34,111.8,4/30,109.5,23/30,2.2,13/30,No Playoffs,https://www.basketball-reference.com/teams/GSW/2008.html
GSW,2009,29,53,109.5,9/30,113.3,28/30,-3.8,24/30,No Playoffs,https://www.basketball-reference.com/teams/GSW/2009.html
GSW,2010,26,56,108.1,14/30,111.7,29/30,-3.6,22/30,No Playoffs,https://www.basketball-reference.com/teams/GSW/2010.html
GSW,2011,36,46,108.2,12/30,110.7,26/30,-2.4,21/30,No Playoffs,https://www.basketball-reference.com/teams/GSW/2011.html
GSW,2012,23,43,105.4,14/30,109.1,27/30,-3.7,23/30,No Playoffs,https://www.basketball-reference.com/teams/GSW/2012.html
GSW,2013,47,35,106.4,11/30,105.5,14/30,0.9,12/30,Lost Round 2 (2-4),https://www.basketball-reference.com/teams/GSW/2013.html
GSW,2014,51,31,107.5,12/30,102.6,4/30,5.0,5/30,Lost Round 1 (3-4),https://www.basketball-reference.com/teams/GSW/2014.html
GSW,2015,67,15,111.6,2/30,101.4,1/30,10.2,1/30,Won Finals (4-2),https://www.basketball-reference.com/teams/GSW/2015.html
GSW,2016,73,9,114.5,1/30,103.8,5/30,10.7,2/30,Lost Finals (3-4),https://www.basketball-reference.com/teams/GSW/2016.html
GSW,2017,67,15,115.6,1/30,104.0,2/30,11.6,1/30,Won Finals (4-1),https://www.basketball-reference.com/teams/GSW/2017.html
GSW,2018,58,24,113.6,3/30,107.6,11/30,6.0,3/30,Won Finals (4-0),https://www.basketball-reference.com/teams/GSW/2018.html
GSW,2019,57,25,115.9,1/30,109.5,13/30,6.4,2/30,Lost Finals (2-4),https://www.basketball-reference.com/teams/GSW/2019.html
GSW,2020,15,50,105.2,30/30,113.8,26/30,-8.6,30/30,No Playoffs,https://www.basketball-reference.com/teams/GSW/2020.html
GSW,2021,39,33,111.1,20/30,110.1,5/30,1.0,14/30,No Playoffs,https://www.basketball-reference.com/teams/GSW/2021.html
GSW,2022,23,5,112.4,4/30,100.7,1/30,11.7,1/30,No Playoffs,https://www.basketball-reference.com/teams/GSW/2022.html
HOU,1985,48,34,107.9,12/23,106.3,4/23,1.7,9/23,Lost Round 1 (2-3),https://www.basketball-reference.com/teams/HOU/1985.html
HOU,1986,51,31,110.1,5/23,107.6,14/23,2.5,4/23,Lost Finals (2-4),https://www.basketball-reference.com/teams/HOU/1986.html
HOU,1987,42,40,106.5,15/23,105.5,3/23,1.0,8/23,Lost Round 2 (2-4),https://www.basketball-reference.com/teams/HOU/1987.html
HOU,1988,46,36,107.1,13/23,105.7,4/23,1.4,11/23,Lost Round 1 (1-3),https://www.basketball-reference.com/teams/HOU/1988.html
HOU,1989,45,37,105.7,19/25,104.8,4/25,0.9,15/25,Lost Round 1 (1-3),https://www.basketball-reference.com/teams/HOU/1989.html
HOU,1990,41,41,104.8,21/27,103.4,1/27,1.4,10/27,Lost Round 1 (1-3),https://www.basketball-reference.com/teams/HOU/1990.html
HOU,1991,52,30,107.4,15/27,103.9,2/27,3.5,8/27,Lost Round 1 (0-3),https://www.basketball-reference.com/teams/HOU/1991.html
HOU,1992,42,40,106.2,20/27,108.0,10/27,-1.8,19/27,No Playoffs,https://www.basketball-reference.com/teams/HOU/1992.html
HOU,1993,55,27,109.6,6/27,105.2,3/27,4.5,6/27,Lost Round 2 (3-4),https://www.basketball-reference.com/teams/HOU/1993.html
HOU,1994,58,24,105.9,15/27,101.4,2/27,4.5,6/27,Won Finals (4-3),https://www.basketball-reference.com/teams/HOU/1994.html
HOU,1995,47,35,109.7,7/27,107.4,12/27,2.2,11/27,Won Finals (4-0),https://www.basketball-reference.com/teams/HOU/1995.html
HOU,1996,48,34,109.3,12/29,107.4,14/29,1.9,12/29,Lost Round 2 (0-4),https://www.basketball-reference.com/teams/HOU/1996.html
HOU,1997,57,25,108.8,7/29,104.0,10/29,4.8,7/29,Lost Round 3 (2-4),https://www.basketball-reference.com/teams/HOU/1997.html
HOU,1998,41,41,107.7,8/29,108.6,25/29,-0.8,18/29,Lost Round 1 (2-3),https://www.basketball-reference.com/teams/HOU/1998.html
HOU,1999,31,19,105.4,5/29,102.9,15/29,2.6,10/29,Lost Round 1 (1-3),https://www.basketball-reference.com/teams/HOU/1999.html
HOU,2000,34,48,104.8,13/29,105.7,19/29,-0.9,20/29,No Playoffs,https://www.basketball-reference.com/teams/HOU/2000.html
HOU,2001,45,37,106.7,5/29,104.2,17/29,2.5,11/29,No Playoffs,https://www.basketball-reference.com/teams/HOU/2001.html
HOU,2002,28,54,103.1,20/29,108.6,29/29,-5.5,25/29,No Playoffs,https://www.basketball-reference.com/teams/HOU/2002.html
HOU,2003,43,39,104.3,14/29,102.6,14/29,1.6,13/29,No Playoffs,https://www.basketball-reference.com/teams/HOU/2003.html
HOU,2004,45,37,100.9,24/29,99.0,5/29,1.9,10/29,Lost Round 1 (1-4),https://www.basketball-reference.com/teams/HOU/2004.html
HOU,2005,51,31,106.2,15/30,101.7,4/30,4.5,5/30,Lost Round 1 (3-4),https://www.basketball-reference.com/teams/HOU/2005.html
HOU,2006,34,48,101.6,29/30,103.3,6/30,-1.8,20/30,No Playoffs,https://www.basketball-reference.com/teams/HOU/2006.html
HOU,2007,52,30,106.0,15/30,100.7,3/30,5.3,5/30,Lost Round 1 (3-4),https://www.basketball-reference.com/teams/HOU/2007.html
HOU,2008,55,27,106.8,17/30,101.6,2/30,5.2,9/30,Lost Round 1 (2-4),https://www.basketball-reference.com/teams/HOU/2008.html
HOU,2009,53,29,108.4,14/30,104.0,4/30,4.4,6/30,Lost Round 2 (3-4),https://www.basketball-reference.com/teams/HOU/2009.html
HOU,2010,42,40,107.6,16/30,108.0,17/30,-0.4,16/30,No Playoffs,https://www.basketball-reference.com/teams/HOU/2010.html
HOU,2011,43,39,111.3,4/30,109.0,19/30,2.3,11/30,No Playoffs,https://www.basketball-reference.com/teams/HOU/2011.html
HOU,2012,34,32,105.5,12/30,105.2,17/30,0.2,18/30,No Playoffs,https://www.basketball-reference.com/teams/HOU/2012.html
HOU,2013,45,37,109.7,6/30,106.1,16/30,3.6,9/30,Lost Round 1 (2-4),https://www.basketball-reference.com/teams/HOU/2013.html
HOU,2014,54,28,111.0,4/30,106.3,13/30,4.7,7/30,Lost Round 1 (2-4),https://www.basketball-reference.com/teams/HOU/2014.html
HOU,2015,56,26,107.0,12/30,103.4,8/30,3.5,7/30,Lost Round 3 (1-4),https://www.basketball-reference.com/teams/HOU/2015.html
HOU,2016,41,41,108.3,7/30,108.1,21/30,0.2,15/30,Lost Round 1 (1-4),https://www.basketball-reference.com/teams/HOU/2016.html
HOU,2017,55,27,114.7,2/30,109.0,18/30,5.7,3/30,Lost Round 2 (2-4),https://www.basketball-reference.com/teams/HOU/2017.html
HOU,2018,65,17,114.7,1/30,106.1,6/30,8.7,1/30,Lost Round 3 (3-4),https://www.basketball-reference.com/teams/HOU/2018.html
HOU,2019,53,29,115.5,2/30,110.7,17/30,4.8,5/30,Lost Round 2 (2-4),https://www.basketball-reference.com/teams/HOU/2019.html
HOU,2020,44,28,112.9,6/30,110.1,14/30,2.8,8/30,Lost Round 2 (1-4),https://www.basketball-reference.com/teams/HOU/2020.html
HOU,2021,17,55,107.1,27/30,114.9,27/30,-7.8,27/30,No Playoffs,https://www.basketball-reference.com/teams/HOU/2021.html
HOU,2022,9,18,105.4,27/30,111.0,24/30,-5.6,26/30,No Playoffs,https://www.basketball-reference.com/teams/HOU/2022.html
IND,1985,22,60,102.5,23/23,108.4,14/23,-5.9,22/23,No Playoffs,https://www.basketball-reference.com/teams/IND/1985.html
IND,1986,26,56,102.6,22/23,105.9,8/23,-3.3,19/23,No Playoffs,https://www.basketball-reference.com/teams/IND/1986.html
IND,1987,41,41,106.0,16/23,106.6,8/23,-0.6,13/23,Lost Round 1 (1-3),https://www.basketball-reference.com/teams/IND/1987.html
IND,1988,38,44,106.6,17/23,107.4,11/23,-0.8,16/23,No Playoffs,https://www.basketball-reference.com/teams/IND/1988.html
IND,1989,28,54,106.8,16/25,111.0,23/25,-4.2,19/25,No Playoffs,https://www.basketball-reference.com/teams/IND/1989.html
IND,1990,42,40,111.5,7/27,111.4,24/27,0.2,15/27,Lost Round 1 (0-3),https://www.basketball-reference.com/teams/IND/1990.html
IND,1991,41,41,111.7,7/27,112.1,26/27,-0.4,16/27,Lost Round 1 (2-3),https://www.basketball-reference.com/teams/IND/1991.html
