1984-11-20,Waived,DET,Terry Teagle
1984-11-23,Signed,CLE,Mark West
1984-11-24,Signed,DET,Brook Steppe
1984-11-26,Waived,CLE,Robert Smith
1984-11-27,Waived,DET,Lorenzo Romar
1984-11-27,Signed,PHO,Michael Young
1984-11-28,Signed,ATL,Sidney Lowe
1984-11-28,Signed,LAL,Ronnie Lester
1984-11-29,Waived,DET,David Thirdkill
1984-12-05,Waived,SAS,Ron Brewer
1984-12-06,Waived,KCK,Dane Suttle
1984-12-07,Waived,CLE,Geoff Huston
1984-12-08,Signed,KCK,David Pope
1984-12-10,Signed,NJN,Kevin McKenna
1984-12-10,Waived,UTA,John Drew
1984-12-11,Traded,SAS;KCK,[Billy Knight];[Mark McNamara]
1984-12-11,Traded,KCK;SAS,[Mark McNamara];[Billy Knight]
1984-12-14,Traded,SAS;CLE,[Jeff Cook];[Edgar Jones]
1984-12-14,Waived,CLE,Michael Wilson
1984-12-14,Signed,KCK,Kenny Natt
1984-12-15,Signed,PHI,George Johnson
1984-12-15,Traded,PHI,Marc Iavaroni
1984-12-15,Traded,PHI;SAS,[];[Marc Iavaroni]
1984-12-17,Waived,DAL,Howard Carter
1984-12-17,Waived,KCK,Kenny Natt
1984-12-17,Waived,MIL,Larry Micheaux
1984-12-18,Waived,ATL,Sidney Lowe
1984-12-18,Waived,ATL,Walker Russell
1984-12-18,Waived,HOU,Phil Ford
1984-12-18,Waived,NJN,Tom LaGarde
1984-12-18,Traded,SAS,Fred Roberts
1984-12-18,Traded,UTA;SAS,[Fred Roberts];[]
1984-12-19,Signed,KCK,Kenny Natt
1984-12-20,Signed,ATL,Sidney Lowe
1984-12-20,Signed,CLE,Kevin Williams
1984-12-22,Signed,NJN,Chris Engler
1984-12-22,Signed,UTA,Pace Mannion
1984-12-26,Signed,NJN,Michael Wilson
1984-12-28,Signed,HOU,Larry Micheaux
1985-01-10,Signed,CLE,Butch Graves
1985-01-10,Signed,IND,Kenton Edelin
1985-01-14,Signed,CHI,Chris Engler
1985-02-12,Traded,MIL;CLE,[Paul Thompson];[Hot Rod Williams;1987 Round 2 Draft Pick (Kannard Johnson)]
1985-02-12,Signed,MIL,David Thirdkill
1985-02-12,Traded,CLE;MIL,[Hot Rod Williams;1987 Round 2 Draft Pick (Kannard Johnson)];[Paul Thompson]
1985-02-14,Waived,ATL,Stewart Granger
1985-02-14,Signed,WSB,Charles Jones
1985-02-18,Signed,LAC,Chris Engler
1985-02-21,Signed,BOS,Ray Williams
1985-02-27,Signed,KCK,Ed Nealy
1985-03-05,Signed,LAL,Chuck Nevitt
1985-03-06,Waived,MIL,David Thirdkill
1985-03-08,Waived,LAC,Bryan Warrick
1985-03-10,Signed,LAC,Dale Wilkinson
1985-03-10,Signed,LAC,Franklin Edwards
1985-03-11,Signed,GSW,Terry Teagle
1985-03-13,Signed,WSB,Don Collins
1985-03-19,Signed,PHI,Steve Hayes
1985-03-21,Signed,NJN,Ron Brewer
1985-03-25,Signed,IND,Greg Kelser
1985-03-29,Signed,IND,Kenton Edelin
1985-04-02,Signed,MIL,Chris Engler
1985-04-07,Waived,PHI,Steve Hayes
1985-04-09,Signed,SAS,David Thirdkill
1985-04-11,Signed,SEA,Joe Cooper
1985-04-12,Signed,SAS,Linton Townes
1985-05-01,Traded,DAL;BOS,[Terry Porter];[Sam Vincent]
1985-05-01,Waived,WSB,Don Collins
1985-05-08,Waived,DAL,Tom Sluby
1985-05-23,Signed,UTA,Steve Hayes
1985-06-06,Signed,DET,Jerome Henderson
1985-06-14,Traded,PHO;POR,[Bernard Thompson];[1987 Round 1 Draft Pick (Nikita Wilson)]
1985-06-17,Traded,WSB;DET,[Dan Roundfield];[Mike Gibson;Rick Mahorn]
1985-06-17,Traded,WSB;GSW,[Manute Bol;1987 Round 2 Draft Pick (Duane Washington)];[Greg Ballard]
1985-06-18,Drafted,ATL,Jon Koncak
1985-06-18,Drafted,ATL,Lorenzo Charles
1985-06-18,Drafted,ATL,Sedric Toney
1985-06-18,Drafted,ATL,1986 Round 1 Draft Pick (Arvydas Sabonis)
1985-06-18,Drafted,ATL,John Battle
1985-06-18,Drafted,ATL,Larry Hampton
1985-06-18,Drafted,ATL,Tony Duckett
1985-06-18,Drafted,ATL,Bob Ferry Jr.
1985-06-18,Drafted,BOS,Sam Vincent
1985-06-18,Drafted,BOS,Andre Battle
1985-06-18,Drafted,BOS,Cliff Webber
1985-06-18,Drafted,BOS,Albert Butts
1985-06-18,Drafted,BOS,Ralph Lewis
1985-06-18,Drafted,BOS,Chris Remley
1985-06-18,Drafted,CHI,Keith Lee
1985-06-18,Drafted,CHI,Ken Johnson
1985-06-18,Drafted,CHI,Aubrey Sherrod
1985-06-18,Drafted,CHI,Adrian Branch
1985-06-18,Drafted,CHI,Mike Brown
1985-06-18,Drafted,CHI,Craig Beard
1985-06-18,Drafted,CHI,Reid Gettys
1985-06-18,Drafted,CHI,Dan Meagher
1985-06-18,Drafted,CHI,Jeff Adkins
1985-06-18,Traded,CHI;SAS,[Gene Banks];[Steve Johnson;Mike Brittain]
1985-06-18,Traded,CHI;CLE,[Charles Oakley];[Keith Lee;Ennis Whatley]
1985-06-18,Traded,CHI;POR,[Mike Smrek];[Ben Coleman;Ken Johnson]
1985-06-18,Drafted,CLE,Charles Oakley
1985-06-18,Drafted,CLE,Calvin Duncan
1985-06-18,Drafted,CLE,Hot Rod Williams
1985-06-18,Drafted,CLE,Herb Johnson
1985-06-18,Drafted,CLE,Mark Davis
1985-06-18,Drafted,CLE,Gunther Behnke
1985-06-18,Drafted,CLE,Rickie Johnson
1985-06-18,Drafted,CLE,Buzz Peterson
1985-06-18,Drafted,DAL,Detlef Schrempf
1985-06-18,Drafted,DAL,Bill Wennington
1985-06-18,Drafted,DAL,Uwe Blab
1985-06-18,Drafted,DAL,Mark Acres
1985-06-18,Drafted,DAL,Leonard Allen
1985-06-18,Drafted,DAL,Harold Keeling
1985-06-18,Drafted,DAL,Bubba Jennings
1985-06-18,Drafted,DAL,Tommy Davis
1985-06-18,Drafted,DAL,Carlton Cooper
1985-06-18,Drafted,DAL,Ed Catchings
1985-06-18,Drafted,DEN,Blair Rasmussen
1985-06-18,Drafted,DEN,Barry Stevens
1985-06-18,Drafted,DEN,Pete Williams
1985-06-18,Drafted,DEN,Kenny Brown
1985-06-18,Drafted,DEN,Joe Carrabino
1985-06-18,Drafted,DEN,Eddie Smith
1985-06-18,Drafted,DET,Joe Dumars
1985-06-18,Drafted,DET,Andre Goode
1985-06-18,Drafted,DET,Richie Johnson
1985-06-18,Drafted,DET,Spud Webb
1985-06-18,Drafted,DET,Mike Lahm
1985-06-18,Drafted,DET,Vincent Giles
1985-06-18,Drafted,DET,Frank James
1985-06-18,Drafted,GSW,Chris Mullin
1985-06-18,Drafted,GSW,Bobby Lee Hurt
1985-06-18,Drafted,GSW,Brad Wright
1985-06-18,Drafted,GSW,Luster Goodwin
1985-06-18,Drafted,GSW,Greg Cavener
1985-06-18,Drafted,GSW,Gerald Crosby
1985-06-18,Drafted,GSW,Eric Boyd
1985-06-18,Drafted,HOU,Steve Harris
1985-06-18,Drafted,HOU,Sam Mitchell
1985-06-18,Drafted,HOU,Michael Payne
1985-06-18,Drafted,HOU,Michael Brooks
1985-06-18,Drafted,HOU,Sam Potter
1985-06-18,Drafted,IND,Wayman Tisdale
1985-06-18,Drafted,IND,Bill Martin
1985-06-18,Drafted,IND,Dwayne McClain
1985-06-18,Drafted,IND,Kenny Patterson
1985-06-18,Drafted,IND,Vince Hamilton
1985-06-18,Drafted,IND,Kelvin Johnson
1985-06-18,Drafted,IND,Ivan Daniels
1985-06-18,Drafted,IND,Stu Primus
1985-06-18,Drafted,IND,Jeff Acres
1985-06-18,Drafted,IND,Don Turney
1985-06-18,Drafted,KCK,Joe Kleine
1985-06-18,Drafted,KCK,Charles Bradley
1985-06-18,Drafted,KCK,Michael Adams
1985-06-18,Drafted,KCK,Willie Simmons
1985-06-18,Drafted,KCK,Bob Lojewski
1985-06-18,Drafted,KCK,Charles Balentine
1985-06-18,Drafted,KCK,Alton Lee Gipson
1985-06-18,Drafted,LAC,Benoit Benjamin
1985-06-18,Drafted,LAC,Anicet Lavodrama
1985-06-18,Drafted,LAC,Jim Deines
1985-06-18,Drafted,LAC,Wayne Carlander
1985-06-18,Drafted,LAC,Malcolm Thomas
1985-06-18,Drafted,LAC,Gary Maloncon
1985-06-18,Drafted,LAL,A.C. Green
1985-06-18,Drafted,LAL,Dexter Shouse
1985-06-18,Drafted,LAL,Timo Saarelainen
1985-06-18,Drafted,LAL,Tony Neal
1985-06-18,Drafted,LAL,Keith Cieplicki
1985-06-18,Drafted,MIL,Jerry Reynolds
1985-06-18,Drafted,MIL,Eugene McDowell
1985-06-18,Drafted,MIL,Cozell McQueen
1985-06-18,Drafted,MIL,Ray Knight
1985-06-18,Drafted,MIL,Quentin Anderson
1985-06-18,Drafted,MIL,Mario Elie
1985-06-18,Drafted,NJN,Yvon Joseph
1985-06-18,Drafted,NJN,Fernando Martin
1985-06-18,Drafted,NJN,Nigel Miguel
1985-06-18,Drafted,NJN,Kelly Blaine
1985-06-18,Drafted,NJN,George Almones
1985-06-18,Drafted,NJN,Gary McLain
1985-06-18,Drafted,NYK,Patrick Ewing
1985-06-18,Drafted,NYK,Gerald Wilkins
1985-06-18,Drafted,NYK,Fred Cofield
1985-06-18,Drafted,NYK,Mike Schlegel
1985-06-18,Drafted,NYK,Kent Lockhart
1985-06-18,Drafted,NYK,Ken Bantum
1985-06-18,Drafted,PHI,Terry Catledge
1985-06-18,Drafted,PHI,Greg Stokes
1985-06-18,Drafted,PHI,Voise Winters
1985-06-18,Drafted,PHI,Steve Black
1985-06-18,Drafted,PHI,Derrick Gervin
1985-06-18,Drafted,PHI,Carl Wright
1985-06-18,Drafted,PHI,Daryl Lloyd
1985-06-18,Drafted,PHI,Jaye Andrews
1985-06-18,Drafted,PHO,Ed Pinckney
1985-06-18,Drafted,PHO,Nick Vanos
